Year,Fuel Type,Production (GWh),,,,,,,,,,,,
2001,Black coal,6882.6,,,,,,,,,,,,
2001,Brown coal,666,,,,,,,,,,,,
2001,Oil,1539.6,,,,,,,,,,,,
2001,Natural gas,1374.8,,,,,,,,,,,,
2001,Renewable,266.3,,,,,,,,,,,,
2002,Black coal,7282.3,,,,,,,,,,,,
2002,Brown coal,669.5,,,,,,,,,,,,
2002,Oil,1457.9,,,,,,,,,,,,
2002,Natural gas,1388.9,,,,,,,,,,,,
2002,Renewable,256.9,,,,,,,,,,,,
2003,Black coal,7287.3,,,,,,,,,,,,
2003,Brown coal,731.9,,,,,,,,,,,,
2003,Oil,1359.2,,,,,,,,,,,,
2003,Natural gas,1435.6,,,,,,,,,,,,
2003,Renewable,276.5,,,,,,,,,,,,
2004,Black coal,7535.2,,,,,,,,,,,,
2004,Brown coal,726.6,,,,,,,,,,,,
2004,Oil,1156.7,,,,,,,,,,,,
2004,Natural gas,1438.7,,,,,,,,,,,,
2004,Renewable,279.1,,,,,,,,,,,,
2005,Black coal,8054.8,,,,,,,,,,,,
2005,Brown coal,737.3,,,,,,,,,,,,
2005,Oil,1063.7,,,,,,,,,,,,
2005,Natural gas,1611.1,,,,,,,,,,,,
2005,Renewable,280.2,,,,,,,,,,,,
2006,Black coal,8141.3,,,,,,,,,,,,
2006,Brown coal,744.7,,,,,,,,,,,,
2006,Oil,984.1,,,,,,,,,,,,
2006,Natural gas,1671.2,,,,,,,,,,,,
2006,Renewable,284.5,,,,,,,,,,,,
2007,Black coal,8631.9,,,,,,,,,,,,
2007,Brown coal,728.2,,,,,,,,,,,,
2007,Oil,1154.0,,,,,,,,,,,,
2007,Natural gas,1772.5,,,,,,,,,,,,
2007,Renewable,288.3,,,,,,,,,,,,
2008,Black coal,8651.1,,,,,,,,,,,,
2008,Brown coal,732.4,,,,,,,,,,,,
2008,Oil,1064.4,,,,,,,,,,,,
2008,Natural gas,1845.2,,,,,,,,,,,,
2008,Renewable,286.4,,,,,,,,,,,,
2009,Black coal,9008.9,,,,,,,,,,,,
2009,Brown coal,751.9,,,,,,,,,,,,
2009,Oil,1134.2,,,,,,,,,,,,
2009,Natural gas,1935.6,,,,,,,,,,,,
2009,Renewable,239.9,,,,,,,,,,,,
2010,Black coal,9759.3,,,,,,,,,,,,
2010,Brown coal,759.4,,,,,,,,,,,,
2010,Oil,1090.4,,,,,,,,,,,,
2010,Natural gas,2062.1,,,,,,,,,,,,
2010,Renewable,282.6,,,,,,,,,,,,
2011,Black coal,9244.4,,,,,,,,,,,,
2011,Brown coal,736.9,,,,,,,,,,,,
2011,Oil,1036.8,,,,,,,,,,,,
2011,Natural gas,2270.3,,,,,,,,,,,,
2011,Renewable,294.6,,,,,,,,,,,,
2012,Black coal,9885.3,,,,,,,,,,,,
2012,Brown coal,744.6,,,,,,,,,,,,
2012,Oil,976.3,,,,,,,,,,,,
2012,Natural gas,2155.1,,,,,,,,,,,,
2012,Renewable,293.8,,,,,,,,,,,,
2013,Black coal,10901.5,,,,,,,,,,,,
2013,Brown coal,644.8,,,,,,,,,,,,
2013,Oil,867.6,,,,,,,,,,,,
2013,Natural gas,2464.1,,,,,,,,,,,,
2013,Renewable,333.5,,,,,,,,,,,,
2014,Black coal,11841.6,,,,,,,,,,,,
2014,Brown coal,626.0,,,,,,,,,,,,
2014,Oil,835.6,,,,,,,,,,,,
2014,Natural gas,2534.5,,,,,,,,,,,,
2014,Renewable,344.2,,,,,,,,,,,,
2015,Black coal,12195.7,,,,,,,,,,,,
2015,Brown coal,697.4,,,,,,,,,,,,
2015,Oil,785.5,,,,,,,,,,,,
2015,Natural gas,2659.3,,,,,,,,,,,,
2015,Renewable,347.7,,,,,,,,,,,,
2016,Black coal,12101.5,,,,,,,,,,,,
2016,Brown coal,624.6,,,,,,,,,,,,
2016,Oil,753.9,,,,,,,,,,,,
2016,Natural gas,3352.5,,,,,,,,,,,,
2016,Renewable,360.2,,,,,,,,,,,,
2017,Black coal,12161.8,,,,,,,,,,,,
2017,Brown coal,584.2,,,,,,,,,,,,
2017,Oil,669.6,,,,,,,,,,,,
2017,Natural gas,3996.9,,,,,,,,,,,,
2017,Renewable,379.1,,,,,,,,,,,,
2018,Black coal,12370.1,,,,,,,,,,,,
2018,Brown coal,473.3,,,,,,,,,,,,
2018,Oil,645.3,,,,,,,,,,,,
2018,Natural gas,4565.3,,,,,,,,,,,,
2018,Renewable,382.5,,,,,,,,,,,,
2019,Black coal,12593.7,,,,,,,,,,,,
2019,Brown coal,444.4,,,,,,,,,,,,
2019,Oil,782.3,,,,,,,,,,,,
2019,Natural gas,5504.7,,,,,,,,,,,,
2019,Renewable,400.2,,,,,,,,,,,,
2020,Black coal,12316.8,,,,,,,,,,,,
2020,Brown coal,425.4,,,,,,,,,,,,
2020,Oil,959.7,,,,,,,,,,,,
2020,Natural gas,5937.0,,,,,,,,,,,,
2020,Renewable,418.8,,,,,,,,,,,,
2021,Black coal,11359.6,,,,,,,,,,,,
2021,Brown coal,430.0,,,,,,,,,,,,
2021,Oil,864.9,,,,,,,,,,,,
2021,Natural gas,5730.3,,,,,,,,,,,,
2021,Renewable,464.6,,,,,,,,,,,,
2022,Black coal,11215.7,,,,,,,,,,,,
2022,Brown coal,415.7,,,,,,,,,,,,
2022,Oil,891.2,,,,,,,,,,,,
2022,Natural gas,6149.5,,,,,,,,,,,,
2022,Renewable,512.1,,,,,,,,,,,,
2023,Black coal,10783.5,,,,,,,,,,,,
2023,Brown coal,400.9,,,,,,,,,,,,
2023,Oil,771.4,,,,,,,,,,,,
2023,Natural gas,6200.5,,,,,,,,,,,,
2023,Renewable,553.6,,,,,,,,,,,,
,,,,,,,,,,,,,,
