State,FuelType,Percentage,,,,,,
NSW,Coal,37.1,,,,,,
NSW,Oil,43.7,,,,,,
NSW,Gas,9.5,,,,,,
NSW,Renewables,9.8,,,,,,
VIC,Coal,33.4,,,,,,
VIC,Oil,39.1,,,,,,
VIC,Gas,18.1,,,,,,
VIC,Renewables,9.4,,,,,,
QLD,Coal,32.3,,,,,,
QLD,Oil,36.6,,,,,,
QLD,Gas,19.9,,,,,,
QLD,Renewables,11.1,,,,,,
WA,Coal,7.7,,,,,,
WA,Oil,34.6,,,,,,
WA,Gas,54.5,,,,,,
WA,Renewables,3.3,,,,,,
SA,Coal,7.5,,,,,,
SA,Oil,49.2,,,,,,
SA,Gas,25.4,,,,,,
SA,Renewables,18.0,,,,,,
TAS,Coal,8.9,,,,,,
TAS,Oil,39.7,,,,,,
TAS,Gas,7.3,,,,,,
TAS,Renewables,44.1,,,,,,
NT,Coal,0.0,,,,,,
NT,Oil,28.2,,,,,,
NT,Gas,70.4,,,,,,
NT,Renewables,1.3,,,,,,
AUS,Coal,25.9,,,,,,
AUS,Oil,38.9,,,,,,
AUS,Gas,25.8,,,,,,
AUS,Renewables,9.4,,,,,,
