Region,Asset Type,Site Name,Fuel Type,latitude,longitude
NSW1,Existing Plant,133 Castlereagh St,Fossil,-33.87,151.21
VIC1,Existing Plant,990 Latrobe St,Fossil,-37.81,144.95
SA1,Existing Plant,Adelaide Airport,Solar - Solar,-34.94,138.53
SA1,Existing Plant,Adelaide Desalination Plant,Solar - Solar,-35.09663569,138.4816415
SA1,Existing Plant,Adelaide Zoo Solar System,Solar - Solar,-34.91,138.61
VIC1,Existing Plant,Aeroten Leongatha Solar,Solar - Solar,-38.1,145.17
NSW1,Existing Plant,Albury Renewable Energy Facility,Renewable Biomass or Waste,-36.07,146.93
QLD1,Existing Plant,Aldi Brendale,Solar - Solar,-27.31,152.97
SA1,Existing Plant,Angaston,Fossil,-34.50322738,139.0244612
NSW1,Existing Plant,Appin,Fossil,-34.21007559,150.7927799
VIC1,Existing Plant,Ararat Wind Farm,Wind - Wind,-37.26276539,143.078424
NSW1,Existing Plant,Avonlie Solar Farm,Solar - Solar,-34.91984708,146.6097561
NSW1,Existing Plant,Awaba,Other - Other,-33.02545456,151.5536928
VIC1,Existing Plant,Bairnsdale,Fossil,-37.84288705,147.5640478
NSW1,Existing Plant,Bakers Maison,Solar - Solar,-33.94,151.01
QLD1,Existing Plant,Baking Board Solar Farm Chinchilla,Solar - Solar,-26.72,150.55
VIC1,Existing Plant,Bald Hills Wind Farm,Wind - Wind,-38.74768802,145.9502859
VIC1,Existing Plant,Ballarat,Renewable Biomass or Waste,-37.56678468,143.813761
VIC1,Existing Plant,Ballarat Base Hospital Plant,Fossil,-37.55875386,143.847236
VIC1,Existing Plant,Ballarat Energy Storage System,Other - Other,-37.56765301,143.9198337
NSW1,Existing Plant,Bango 973 Wind Farm,Wind - Wind,-34.55759049,148.7964384
NSW1,Existing Plant,Bango 999 Wind Farm,Wind - Wind,-34.56084329,148.8721625
VIC1,Existing Plant,Banimboola,Hydro - Water,-36.53360684,147.4603408
NSW1,Existing Plant,Bankstown Sports Club,Fossil,-33.91977393,151.0338091
VIC1,Existing Plant,Bannerton Solar Park,Solar - Solar,-34.6911712,142.7666241
QLD1,Existing Plant,Barcaldine Power Station,Fossil,-23.55241171,145.3145086
QLD1,Existing Plant,Barcaldine Remote Community Solar Farm,Solar - Solar,-23.54665407,145.3189743
SA1,Existing Plant,Barker Inlet Power Station,Fossil,-34.80423725,138.5248421
QLD1,Existing Plant,Barron Gorge,Hydro - Water,-16.85120879,145.6469204
TAS1,Existing Plant,Bastyan,Hydro - Water,-41.73616838,145.5321854
NSW1,Existing Plant,Bayswater,Fossil,-32.39284666,150.9490013
VIC1,Existing Plant,Bayswood Timber Hallam VIC,Solar - Solar,-38.01601822,145.2632341
VIC1,Existing Plant,Beaconhills College Berwick,Solar - Solar,-38.05,145.36
TAS1,Existing Plant,Bell Bay Three,Fossil,-41.1399398,146.9056284
VIC1,Existing Plant,Bendigo,Renewable Biomass or Waste,-36.76,144.28
VIC1,Existing Plant,Berrybank Wind Farm,Wind - Wind,-37.98284158,143.4752707
NSW1,Existing Plant,Beryl Solar Farm,Solar - Solar,-32.35750525,149.4680333
SA1,Existing Plant,BHP Olympic Dam Backup Generation,Fossil,-30.45,136.87
NSW1,Existing Plant,Blayney,Wind - Wind,-33.53,149.26
NSW1,Existing Plant,Blowering,Hydro - Water,-35.39872187,148.2464095
SA1,Existing Plant,Blue Lake Milling Power Plant,Fossil,-36.31626748,140.7578642
QLD1,Existing Plant,Bluegrass Solar Farm,Solar - Solar,-26.68449117,150.5069519
NSW1,Existing Plant,Boco Rock Wind Farm,Wind - Wind,-36.57699965,149.1272265
NSW1,Existing Plant,Bodangora Wind Farm,Wind - Wind,-32.40689277,149.04133
VIC1,Existing Plant,Bogong / Mackay,Hydro - Water,-36.85874553,147.234327
SA1,Existing Plant,Bolivar Power Station,Fossil,-34.77562676,138.5797571
SA1,Existing Plant,Bolivar Waste Water Treatment,Solar - Solar,-34.76836244,138.5885159
NSW1,Existing Plant,Bomen Solar Farm,Solar - Solar,-35.05171091,147.4397787
SA1,Existing Plant,Bordertown Power Station Gen,Fossil,-36.31447453,140.7580641
VIC1,Existing Plant,Boronia Mini Hydro,Hydro - Water,-37.86,145.28
QLD1,Existing Plant,Bouldercombe Battery project,Other - Other,-23.53676594,150.4875673
QLD1,Existing Plant,Braemar,Fossil,-27.11127729,150.9051884
QLD1,Existing Plant,Braemar 2 Power Station,Fossil,-27.11347661,150.9054804
VIC1,Existing Plant,Bridgewater,Solar - Solar,-36.59,143.92
VIC1,Existing Plant,Broadmeadows,Other - Other,-37.69,144.92
NSW1,Existing Plant,Broadwater,Renewable Biomass or Waste,-29.01226132,153.4327511
NSW1,Existing Plant,Broken Hill,Other - Other,-31.98636074,141.4230592
NSW1,Existing Plant,Broken Hill GT,Fossil,-31.9862557,141.4199339
NSW1,Existing Plant,Broken Hill Solar Plant,Solar - Solar,-31.98757869,141.3928878
NSW1,Existing Plant,Brown Mountain Hydro Power Station,Hydro - Water,-36.60992005,149.4800599
QLD1,Existing Plant,Browns Plains,Other - Other,-27.6744183,153.0690572
VIC1,Existing Plant,Bulgana Green Power Hub - BESS,Other - Other,-37.03901768,142.9827652
VIC1,Existing Plant,Bulgana Green Power Hub - Wind Farm,Wind - Wind,-37.05198837,142.9831795
SA1,Existing Plant,Bungala One Solar Farm,Solar - Solar,-32.42286102,137.8415641
SA1,Existing Plant,Bungala Two Solar Farm,Solar - Solar,-32.40760538,137.8418163
VIC1,Existing Plant,Bunurong 260 kW Solar PV Bangholme,Solar - Solar,-38.07,145.2
NSW1,Existing Plant,Burrendong,Hydro - Water,-32.66463903,149.1078944
NSW1,Existing Plant,Burrinjuck,Hydro - Water,-35.0010908,148.5825437
TAS1,Existing Plant,Butlers Gorge,Hydro - Water,-42.28,146.33
QLD1,Existing Plant,Callide B,Fossil,-24.3491746,150.6183193
QLD1,Existing Plant,Callide C,Fossil,-24.34458376,150.6205991
QLD1,Existing Plant,Caloundra Renewable Energy Facility,Renewable Biomass or Waste,-26.78747411,153.0705565
SA1,Existing Plant,Canunda,Wind - Wind,-37.81058374,140.418702
NSW1,Existing Plant,Capital East Solar Farm P1,Solar - Solar,-35.18051314,149.5461793
NSW1,Existing Plant,Capital Wind Farm,Wind - Wind,-35.18781331,149.5240636
VIC1,Existing Plant,Cardinia Creek Mini-Hydro,Hydro - Water,-37.97,145.39
VIC1,Existing Plant,CARINA WEST H2E,Renewable Biomass or Waste,-34.68,142.75
TAS1,Existing Plant,Catagunya / Liapootah / Wayatinah,Hydro - Water,-42.45214529,146.5976307
SA1,Existing Plant,Cathedral Rocks,Wind - Wind,-34.86503297,135.593156
TAS1,Existing Plant,Cattle Hill Wind Farm,Wind - Wind,-42.15842429,146.7127454
VIC1,Existing Plant,Cedar Meats Solar Geelong,Solar - Solar,-37.82,144.84
TAS1,Existing Plant,Cethana,Hydro - Water,-41.48017149,146.1339355
VIC1,Existing Plant,Challicum Hills,Wind - Wind,-37.38790295,143.0768055
VIC1,Existing Plant,Chepstowe Wind Farm - VIC,Wind - Wind,-37.59484976,143.4959278
VIC1,Existing Plant,Cherry Tree Wind Farm,Wind - Wind,-37.10036482,145.2675024
QLD1,Existing Plant,Childers Solar Farm,Solar - Solar,-25.3055894,152.4035582
NSW1,Existing Plant,Chillamurra,Solar - Solar,-30.64,151.5
QLD1,Existing Plant,Chillamurra Solar Farm,Solar - Solar,-26.11023155,152.4336204
QLD1,Existing Plant,Chinchilla BESS,Other - Other,-26.91422233,150.748204
SA1,Existing Plant,Christies Beach Wastewater Treatment Plant,Other - Other,-35.12588471,138.4735195
QLD1,Existing Plant,Churchill Abattoir,Solar - Solar,-27.65,152.74
QLD1,Existing Plant,Clare Solar Farm,Solar - Solar,-19.84103824,147.2058626
VIC1,Existing Plant,Clayton,Renewable Biomass or Waste,-37.95026097,145.1187544
SA1,Existing Plant,Clements Gap Wind Farm,Wind - Wind,-33.48094919,138.0988321
QLD1,Existing Plant,Clermont Solar Farm,Solar - Solar,-22.83941206,147.5810409
VIC1,Existing Plant,Clover,Hydro - Water,-36.78532716,147.2204662
NSW1,Existing Plant,Club Merrylands,Fossil,-33.84,150.99
TAS1,Existing Plant,Cluny,Hydro - Water,-42.50742332,146.6464579
VIC1,Existing Plant,Codrington Wind Farm,Wind - Wind,-38.27302508,141.9730801
VIC1,Existing Plant,Cohuna Solar Farm,Solar - Solar,-35.88243469,144.2179292
NSW1,Existing Plant,Coleambally Solar Farm,Solar - Solar,-34.76143376,145.9244437
NSW1,Existing Plant,Collector,Wind - Wind,-34.84060037,149.383936
QLD1,Existing Plant,Collinsville PV,Solar - Solar,-20.54596587,147.8103027
NSW1,Existing Plant,Colongra,Fossil,-33.20963176,151.544018
QLD1,Existing Plant,Columboola Solar Farm,Solar - Solar,-26.63549943,150.2991827
QLD1,Existing Plant,Condamine A,Fossil,-26.66909265,150.2691519
NSW1,Existing Plant,Condong,Renewable Biomass or Waste,-28.31457725,153.4338071
VIC1,Existing Plant,Coonooer Bridge Wind Farm,Wind - Wind,-36.43689301,143.3615316
SA1,Existing Plant,Coopers Co-gen,Fossil,-34.77,139.06
QLD1,Existing Plant,Coopers Gap Wind Farm,Wind - Wind,-26.74813071,151.4593469
NSW1,Existing Plant,Copeton,Hydro - Water,-29.91009316,150.9235158
TAS1,Existing Plant,Copping Renewable Energy Facility,Renewable Biomass or Waste,-42.82695496,147.7720442
VIC1,Existing Plant,Corio,Renewable Biomass or Waste,-38.05875336,144.4055392
NSW1,Existing Plant,Corowa Solar Farm,Solar - Solar,-35.97888043,146.3589812
NSW1,Existing Plant,Crookwell,Wind - Wind,-34.54117279,149.5954549
NSW1,Existing Plant,Crookwell 2 Wind Farm,Wind - Wind,-34.54411927,149.5867015
VIC1,Existing Plant,Crowlands Wind Farm,Wind - Wind,-37.12641385,143.1559722
VIC1,Existing Plant,Crown Melbourne,Fossil,-37.82408307,144.9569346
NSW1,Existing Plant,Crudine Ridge Wind Farm,Wind - Wind,-32.89947153,149.6483843
NSW1,Existing Plant,Cullerin Range Wind Farm,Wind - Wind,-34.81807622,149.3991615
SA1,Existing Plant,Dalrymple BESS,Other - Other,-34.93390436,137.7435669
QLD1,Existing Plant,Darling Downs,Fossil,-27.11605404,150.8947828
QLD1,Existing Plant,Darling Downs Solar Farm,Solar - Solar,-27.11458502,150.8762272
NSW1,Existing Plant,Darlington Point Energy Storage System,Other - Other,-34.56667761,145.9997329
NSW1,Existing Plant,Darlington Point Solar Farm,Solar - Solar,-34.647962,146.0585378
VIC1,Existing Plant,Dartmouth,Hydro - Water,-36.5563444,147.5203881
QLD1,Existing Plant,Daydream Solar Farm,Solar - Solar,-20.48554277,147.7707843
NSW1,Existing Plant,De Bortoli Wines,Solar - Solar,-34.28,146.14
TAS1,Existing Plant,Devils Gate,Hydro - Water,-41.35002115,146.2648198
NSW1,Existing Plant,DHL6 Solar Horsley Park,Solar - Solar,-33.84,150.85
VIC1,Existing Plant,Diapur Wind Farm,Wind - Wind,-36.34,141.45
NSW1,Existing Plant,Drayton's Family Wines Solar,Solar - Solar,-32.80901079,151.2821159
SA1,Existing Plant,Dry Creek GT,Fossil,-34.84745744,138.581723
VIC1,Existing Plant,Drysdale,Renewable Biomass or Waste,-38.17107714,144.627401
QLD1,Existing Plant,Dulacca Wind Farm,Wind - Wind,-26.62976365,149.86894
QLD1,Existing Plant,Dunblane Solar Farm,Solar - Solar,-23.54467204,145.2656881
VIC1,Existing Plant,Dundonnell Wind Farm,Wind - Wind,-37.86517036,142.9683485
NSW1,Existing Plant,Earthpower Technologies Sydney,Other - Other,-33.82,151.04
NSW1,Existing Plant,Eastern Creek,Renewable Biomass or Waste,-33.79635256,150.8245405
NSW1,Existing Plant,Eastern Creek 2 Gas Utilisation Facility,Renewable Biomass or Waste,-33.79835716,150.8236724
QLD1,Existing Plant,Edenvale Solar Park,Solar - Solar,-26.93045229,150.5821221
VIC1,Existing Plant,Eildon,Hydro - Water,-37.22167509,145.9209582
VIC1,Existing Plant,Eildon Pondage Power Station (EPPS),Hydro - Water,-37.24302034,145.8974692
