year,Sector,Value,,,,,,,,,,,,,,,
2001,Transport,1249.1,,,,,,,,,,,,,,,
2001,Electricity.Supply,1507.9,,,,,,,,,,,,,,,
2001,Manufacturing,1188.3,,,,,,,,,,,,,,,
2001,Mining,253.9,,,,,,,,,,,,,,,
2001,Residential,398,,,,,,,,,,,,,,,
2001,Commercial,214.5,,,,,,,,,,,,,,,
2001,Other,200.1,,,,,,,,,,,,,,,
2002,Transport,1261.1,,,,,,,,,,,,,,,
2002,Electricity.Supply,1542.9,,,,,,,,,,,,,,,
2002,Manufacturing,1207.4,,,,,,,,,,,,,,,
2002,Mining,268.8,,,,,,,,,,,,,,,
2002,Residential,389,,,,,,,,,,,,,,,
2002,Commercial,221.9,,,,,,,,,,,,,,,
2002,Other,206.1,,,,,,,,,,,,,,,
2003,Transport,1265.9,,,,,,,,,,,,,,,
2003,Electricity.Supply,1566.7,,,,,,,,,,,,,,,
2003,Manufacturing,1175,,,,,,,,,,,,,,,
2003,Mining,254.3,,,,,,,,,,,,,,,
2003,Residential,411.6,,,,,,,,,,,,,,,
2003,Commercial,250.7,,,,,,,,,,,,,,,
2003,Other,210.4,,,,,,,,,,,,,,,
2004,Transport,1327.8,,,,,,,,,,,,,,,
2004,Electricity.Supply,1664.8,,,,,,,,,,,,,,,
2004,Manufacturing,1136.6,,,,,,,,,,,,,,,
2004,Mining,264.6,,,,,,,,,,,,,,,
2004,Residential,415,,,,,,,,,,,,,,,
2004,Commercial,255.9,,,,,,,,,,,,,,,
2004,Other,216.1,,,,,,,,,,,,,,,
2005,Transport,1358.1,,,,,,,,,,,,,,,
2005,Electricity.Supply,1706.4,,,,,,,,,,,,,,,
2005,Manufacturing,1163.7,,,,,,,,,,,,,,,
2005,Mining,285.9,,,,,,,,,,,,,,,
2005,Residential,410.9,,,,,,,,,,,,,,,
2005,Commercial,256.4,,,,,,,,,,,,,,,
2005,Other,213.5,,,,,,,,,,,,,,,
2006,Transport,1388.2,,,,,,,,,,,,,,,
2006,Electricity.Supply,1730.7,,,,,,,,,,,,,,,
2006,Manufacturing,1231.4,,,,,,,,,,,,,,,
2006,Mining,302.8,,,,,,,,,,,,,,,
2006,Residential,418,,,,,,,,,,,,,,,
2006,Commercial,259.4,,,,,,,,,,,,,,,
2006,Other,211.3,,,,,,,,,,,,,,,
2007,Transport,1425.7,,,,,,,,,,,,,,,
2007,Electricity.Supply,1807.8,,,,,,,,,,,,,,,
2007,Manufacturing,1258.7,,,,,,,,,,,,,,,
2007,Mining,321.9,,,,,,,,,,,,,,,
2007,Residential,426.7,,,,,,,,,,,,,,,
2007,Commercial,272.6,,,,,,,,,,,,,,,
2007,Other,205.2,,,,,,,,,,,,,,,
2008,Transport,1458,,,,,,,,,,,,,,,
2008,Electricity.Supply,1823.9,,,,,,,,,,,,,,,
2008,Manufacturing,1207.5,,,,,,,,,,,,,,,
2008,Mining,329.7,,,,,,,,,,,,,,,
2008,Residential,431.2,,,,,,,,,,,,,,,
2008,Commercial,274.5,,,,,,,,,,,,,,,
2008,Other,208.5,,,,,,,,,,,,,,,
2009,Transport,1460.1,,,,,,,,,,,,,,,
2009,Electricity.Supply,1913.9,,,,,,,,,,,,,,,
2009,Manufacturing,1171.4,,,,,,,,,,,,,,,
2009,Mining,369.4,,,,,,,,,,,,,,,
2009,Residential,437.4,,,,,,,,,,,,,,,
2009,Commercial,278.7,,,,,,,,,,,,,,,
2009,Other,213.2,,,,,,,,,,,,,,,
2010,Transport,1490.8,,,,,,,,,,,,,,,
2010,Electricity.Supply,1755.2,,,,,,,,,,,,,,,
2010,Manufacturing,1259.8,,,,,,,,,,,,,,,
2010,Mining,372.3,,,,,,,,,,,,,,,
2010,Residential,444.3,,,,,,,,,,,,,,,
2010,Commercial,284.4,,,,,,,,,,,,,,,
2010,Other,216.9,,,,,,,,,,,,,,,
2011,Transport,1524.4,,,,,,,,,,,,,,,
2011,Electricity.Supply,1682.6,,,,,,,,,,,,,,,
