Year,FuelType,FlowType,Value (PJ),Scaled Log Transformation:,,,,,,,,,,,,,,
2001,Coal,Import,0.0,0.00,,,,,,,,,,,,,,
2001,Oil and LPG,Import,1035.8,30.16,,,,,,,,,,,,,,
2001,Refined Products,Import,154.2,21.91,,,,,,,,,,,,,,
2001,Natural Gas,Import,0.0,0.00,,,,,,,,,,,,,,
2001,Coal,Export,5518.1,37.42,,,,,,,,,,,,,,
2001,Oil and LPG,Export,961.2,29.83,,,,,,,,,,,,,,
2001,Refined Products,Export,169.2,22.31,,,,,,,,,,,,,,
2001,Natural Gas,Export,409.6,26.13,,,,,,,,,,,,,,
2002,Coal,Import,0.0,0.00,,,,,,,,,,,,,,
2002,Oil and LPG,Import,1071.9,30.31,,,,,,,,,,,,,,
2002,Refined Products,Import,151.4,21.83,,,,,,,,,,,,,,
2002,Natural Gas,Import,0.0,0.00,,,,,,,,,,,,,,
2002,Coal,Export,5632.7,37.51,,,,,,,,,,,,,,
2002,Oil and LPG,Export,968.1,29.86,,,,,,,,,,,,,,
2002,Refined Products,Export,124.6,20.99,,,,,,,,,,,,,,
2002,Natural Gas,Export,413.4,26.17,,,,,,,,,,,,,,
2003,Coal,Import,3.7,6.72,,,,,,,,,,,,,,
2003,Oil and LPG,Import,1090.1,30.38,,,,,,,,,,,,,,
2003,Refined Products,Import,191.8,22.85,,,,,,,,,,,,,,
2003,Natural Gas,Import,0.0,0.00,,,,,,,,,,,,,,
2003,Coal,Export,5942.1,37.74,,,,,,,,,,,,,,
2003,Oil and LPG,Export,861.4,29.36,,,,,,,,,,,,,,
2003,Refined Products,Export,115.0,20.64,,,,,,,,,,,,,,
2003,Natural Gas,Export,425.8,26.30,,,,,,,,,,,,,,
2004,Coal,Import,1.4,3.80,,,,,,,,,,,,,,
2004,Oil and LPG,Import,930.6,29.69,,,,,,,,,,,,,,
2004,Refined Products,Import,361.4,25.59,,,,,,,,,,,,,,
2004,Natural Gas,Import,0.0,0.00,,,,,,,,,,,,,,
2004,Coal,Export,6228.2,37.94,,,,,,,,,,,,,,
2004,Oil and LPG,Export,727.2,28.62,,,,,,,,,,,,,,
2004,Refined Products,Export,90.8,19.63,,,,,,,,,,,,,,
2004,Natural Gas,Export,430.5,26.35,,,,,,,,,,,,,,
2005,Coal,Import,3.7,6.72,,,,,,,,,,,,,,
2005,Oil and LPG,Import,1022.9,30.10,,,,,,,,,,,,,,
2005,Refined Products,Import,396.9,26.00,,,,,,,,,,,,,,
2005,Natural Gas,Import,0.0,0.00,,,,,,,,,,,,,,
2005,Coal,Export,6614.7,38.21,,,,,,,,,,,,,,
2005,Oil and LPG,Export,658.9,28.19,,,,,,,,,,,,,,
2005,Refined Products,Export,67.2,18.34,,,,,,,,,,,,,,
2005,Natural Gas,Export,576.0,27.61,,,,,,,,,,,,,,
2006,Coal,Import,5.7,8.26,,,,,,,,,,,,,,
2006,Oil and LPG,Import,961.1,29.83,,,,,,,,,,,,,,
2006,Refined Products,Import,507.0,27.06,,,,,,,,,,,,,,
2006,Natural Gas,Import,48.6,16.95,,,,,,,,,,,,,,
2006,Coal,Export,6611.5,38.20,,,,,,,,,,,,,,
2006,Oil and LPG,Export,557.5,27.47,,,,,,,,,,,,,,
2006,Refined Products,Export,76.8,18.91,,,,,,,,,,,,,,
2006,Natural Gas,Export,654.4,28.16,,,,,,,,,,,,,,
2007,Coal,Import,4.7,7.56,,,,,,,,,,,,,,
2007,Oil and LPG,Import,1001.0,30.01,,,,,,,,,,,,,,
2007,Refined Products,Import,494.5,26.95,,,,,,,,,,,,,,
2007,Natural Gas,Import,217.7,23.40,,,,,,,,,,,,,,
2007,Coal,Export,6951.7,38.42,,,,,,,,,,,,,,
2007,Oil and LPG,Export,667.0,28.25,,,,,,,,,,,,,,
2007,Refined Products,Export,63.6,18.10,,,,,,,,,,,,,,
2007,Natural Gas,Export,779.7,28.92,,,,,,,,,,,,,,
2008,Coal,Import,2.2,5.05,,,,,,,,,,,,,,
2008,Oil and LPG,Import,1040.9,30.18,,,,,,,,,,,,,,
2008,Refined Products,Import,635.9,28.04,,,,,,,,,,,,,,
2008,Natural Gas,Import,205.6,23.15,,,,,,,,,,,,,,
2008,Coal,Export,7384.4,38.68,,,,,,,,,,,,,,
2008,Oil and LPG,Export,661.0,28.21,,,,,,,,,,,,,,
2008,Refined Products,Export,66.3,18.28,,,,,,,,,,,,,,
2008,Natural Gas,Export,744.1,28.72,,,,,,,,,,,,,,
2009,Coal,Import,1.6,4.15,,,,,,,,,,,,,,
